,timestamp,open,high,low,Close,Volume,VolumeUSD,Rsi,BBup,BBmid,BBlow,minterm,mintermr,maxterm,maxtermr,DivergenceSignal,Signal1
17,1717498800000,68735.44,68870.4,68517.56,68620.49,146.14758,10043813.69774293,17.956109460501015,72243.69168698706,70676.66714285716,69109.64259872725,True,True,False,False,0.0,0
21,1717484400000,69444.44,69550.02,69102.6,69215.52,173.944039,12058115.88636673,33.07531212315787,72039.5318654283,70074.81357142857,68110.09527742885,True,True,False,False,0.0,0
25,1717470000000,69522.35,69567.0,69171.2,69171.2,113.391874,7866509.66867925,34.31143500341638,71173.79194397443,69579.03714285714,67984.28234173985,True,True,False,False,0.0,0
27,1717462800000,69313.38,69550.02,69171.2,69171.2,76.264282,5289362.7129386,37.023377413365694,70430.51368969321,69347.845,68265.1763103068,True,True,False,False,-1.0,0
33,1717441200000,70000.0,70031.4,69677.04,69700.0,44.415609,3100743.38130976,47.677442991171816,69783.49502599436,69392.52142857142,69001.54783114848,True,True,False,False,1.0,0
38,1717423200000,69102.6,70296.2,68735.44,69029.18,2890.301314,201203617.9704159,37.6974089933251,70112.6217830847,69507.72285714284,68902.82393120098,True,True,False,False,0.0,0
43,1717405200000,68003.61,68081.8,67709.4,67800.0,93.786889,6367958.6611128,26.38643893945025,70648.20155681355,69134.82642857142,67621.4513003293,True,True,False,False,0.0,0
45,1717398000000,67706.52,67706.52,67352.63,67536.94,69.995596,4724692.97836663,26.835665149560274,70675.0556649801,68904.43142857144,67133.80719216277,True,True,False,False,0.0,0
49,1717383600000,67563.94,67852.8,67477.2,67477.2,68.983102,4664280.63998561,28.930867146078583,69775.2870188926,68275.73285714285,66776.1786953931,True,True,False,False,0.0,0
52,1717372800000,67852.8,67852.8,67489.28,67572.33,84.891558,5741237.75301757,32.26681171124986,68711.08275090263,67876.99142857143,67042.90010624024,True,True,False,False,0.0,0
54,1717365600000,67567.77,67775.25,67477.2,67489.28,57.496887,3885956.72676766,34.2207687947643,68086.22884237856,67722.01285714286,67357.79687190717,True,True,False,False,0.0,0
58,1717351200000,67689.38,67852.8,67489.28,67563.94,53.450689,3616801.94638654,36.35903369396163,67827.8127075063,67618.55500000001,67409.29729249372,True,True,False,False,0.0,0
62,1717336800000,67775.25,67852.8,67554.68,67563.94,127.990207,8664263.75605425,38.551445776610024,67864.07774770404,67629.70785714287,67395.3379665817,True,True,False,False,0.0,0
