,timestamp,open,high,low,Close,Volume,VolumeUSD,Rsi,BBup,BBmid,BBlow,minterm,mintermr,maxterm,maxtermr,DivergenceSignal,Signal1
64,1717329600000,67646.04,67709.4,67367.88,67554.68,139.956749,9460325.74410882,40.028539717565295,67880.56719898888,67650.33571428573,67420.10422958258,True,True,False,False,0.0,0
69,1717311600000,67563.94,67610.34,67256.89,67293.44,335.837151,22649502.20420341,35.72616886269594,67888.06600666027,67599.51071428573,67310.95542191119,True,True,False,False,0.0,0
72,1717300800000,67863.92,67941.6,67582.73,67582.73,255.915352,17339797.07462623,45.12693151793936,67939.44343135746,67618.91214285717,67298.38085435687,True,True,False,False,0.0,0
74,1717293600000,67856.4,68081.8,67610.34,67610.34,297.164159,20147743.9081418,46.22481471418453,67934.63816124949,67614.06071428573,67293.48326732198,True,True,False,False,0.0,0
78,1717279200000,68081.8,68142.6,67709.4,67852.8,303.650005,20641902.67499232,50.204454310690636,68182.34094609026,67704.26642857146,67226.19191105265,True,True,False,False,0.0,0
85,1717254000000,64665.16,64700.82,64226.4,64458.6,818.232176,52774711.53270267,20.33887046250896,69563.97318655407,66929.9085714286,64295.84395630314,True,True,False,False,0.0,0
92,1717228800000,61796.93,61904.4,61218.35,61352.96,468.864789,28853988.84678731,18.176271660110764,68347.88160292721,65073.185000000034,61798.48839707286,True,True,False,False,0.0,0
103,1717189200000,62915.12,62927.24,61548.84,62058.28,1886.236666,117118277.67401168,33.915291647248765,65381.69214633847,63272.54357142861,61163.39499651874,True,True,False,False,0.0,0
108,1717171200000,62136.6,62375.51,60891.76,60891.76,1221.271316,75268009.40406907,31.596339828763686,65486.18394081987,63019.042142857164,60551.90034489446,True,True,False,False,0.0,0
110,1717164000000,61791.3,62031.0,61189.32,61189.32,604.631165,37199356.45429954,37.04719944553877,65450.41968819744,62804.13214285717,60157.844597516894,True,True,False,False,0.0,0
114,1717149600000,60983.47,61440.0,60171.21,60279.0,1872.782782,114025101.57890776,35.40266965962013,63910.46473379872,61859.890714285735,59809.31669477275,True,True,False,False,0.0,0
117,1717138800000,59811.53,60046.8,59467.55,59534.16,499.700573,29814084.36056407,34.144542949932884,63183.38824194071,61315.18142857146,59446.974615202205,True,True,False,False,0.0,0
131,1717088400000,65467.24,65619.6,64690.8,64699.41,448.955577,29212565.68759672,65.19500300481059,65675.00953584717,62418.95214285719,59162.89474986721,True,True,False,False,0.0,0
134,1717077600000,64690.8,64923.0,64377.84,64377.84,409.969375,26465197.87857533,57.20460898727641,66504.68673002864,63530.06000000005,60555.43326997146,True,True,False,False,0.0,0
138,1717063200000,63076.8,63282.27,62092.44,62946.57,1699.42216,106435955.22932072,46.94754171735343,66267.06647967274,64298.86428571433,62330.66209175591,True,True,False,False,0.0,0
143,1717045200000,63506.32,63529.8,63249.13,63272.32,211.101584,13385197.04445118,48.922771007279934,66227.62859666561,64230.79428571432,62233.959974763035,True,True,False,False,0.0,0
146,1717034400000,63288.44,63529.8,63249.24,63266.32,178.478954,11314984.5664726,48.67926960794327,65727.62487347348,63882.51785714288,62037.41084081228,True,True,False,False,0.0,0
156,1716998400000,64624.05,64856.48,64215.9,64215.9,507.948288,32773054.51127968,52.075286209564766,65772.95256863997,64069.71785714289,62366.4831456458,True,True,False,False,0.0,0
161,1716980400000,68081.8,68337.72,64968.36,64968.36,3197.646691,213283347.7315684,53.5528827291955,66614.25634286519,64781.78142857146,62949.306514277734,True,True,False,False,0.0,0
163,1716973200000,68141.0,68406.0,67012.8,67856.4,2073.211173,140274589.88478178,65.32940948206671,67961.66582892004,65432.77928571432,62903.8927425086,True,True,False,False,0.0,0
165,1716966000000,67272.04,67477.2,66686.65,66686.65,484.6964,32470648.32798465,57.28091567778667,68523.61128156492,65921.29714285718,63318.98300414943,True,True,False,False,0.0,0
168,1716955200000,66371.18,66595.0,65846.99,65846.99,475.056945,31419572.86766182,50.91028260006678,69153.70065924087,66343.88214285718,63534.063626473486,True,True,False,False,0.0,0
175,1716930000000,64700.82,64923.0,64159.96,64159.96,578.64526,37331895.55469814,42.687719306530326,69406.55165681569,67063.78428571433,64721.01691461296,True,True,False,False,0.0,0
180,1716912000000,64182.98,64182.98,63297.6,63297.6,643.042383,40914427.44643962,40.6871538940476,69111.97213614342,66211.11357142859,63310.255006713756,True,True,False,False,0.0,0
183,1716901200000,65031.48,65259.05,64458.6,64458.6,601.430571,38932691.77344358,45.63741759471804,68590.16975096744,65677.53500000002,62764.9002490326,True,True,False,False,0.0,0
190,1716876000000,63760.36,63762.01,63249.24,63249.24,571.653662,36292973.13934406,40.794826902490335,67328.41352228387,65185.50000000002,63042.58647771618,True,True,False,False,0.0,0
2,,,,,,,,,,,,,,,,-1.0,0
5,,,,,,,,,,,,,,,,1.0,0
9,,,,,,,,,,,,,,,,-1.0,0
10,,,,,,,,,,,,,,,,-1.0,0
11,,,,,,,,,,,,,,,,-1.0,0
13,,,,,,,,,,,,,,,,-1.0,0
15,,,,,,,,,,,,,,,,-1.0,0
16,,,,,,,,,,,,,,,,-1.0,0
18,,,,,,,,,,,,,,,,1.0,0
22,,,,,,,,,,,,,,,,1.0,0
23,,,,,,,,,,,,,,,,1.0,0
26,,,,,,,,,,,,,,,,1.0,0
29,,,,,,,,,,,,,,,,-1.0,0
30,,,,,,,,,,,,,,,,-1.0,0
31,,,,,,,,,,,,,,,,-1.0,0
34,,,,,,,,,,,,,,,,1.0,0
35,,,,,,,,,,,,,,,,1.0,0
