Date,Open,High,Low,Close,Volume,Rsi,BBup,BBmid,BBlow,minterm,mintermr,maxterm,maxtermr,DivergenceSignal,Signal1
2017-08-24,72.73999786376953,72.86000061035156,72.06999969482422,72.69000244140625,17098300,50.59066473658026,73.81829561738947,72.68857247488839,71.55884933238731,True,True,False,False,0,0
2017-09-06,73.73999786376953,74.04000091552734,73.3499984741211,73.4000015258789,16535800,52.71025209128588,74.54754421101676,73.1457154410226,71.74388667102845,True,True,False,False,0,0
2017-09-08,74.33000183105469,74.44000244140625,73.83999633789062,73.9800033569336,14703800,55.81228140111626,74.82238500816437,73.39071546282086,71.95904591747735,True,True,False,False,-1,0
2017-09-12,74.76000213623047,75.23999786376953,74.37000274658203,74.68000030517578,14394900,59.74463491245538,75.18810630529045,73.68571526663644,72.18332422798242,True,True,False,False,-1,0
2017-09-14,75.0,75.48999786376953,74.5199966430664,74.7699966430664,15733900,58.81553917794571,75.52243294418942,74.01214327131,72.50185359843057,True,True,False,False,-1,0
2017-09-18,75.2300033569336,75.97000122070312,75.04000091552734,75.16000366210938,23307000,60.59118678081773,75.71996425742606,74.35642896379743,72.9928936701688,True,True,False,False,-1,0
2017-09-21,75.11000061035156,75.23999786376953,74.11000061035156,74.20999908447266,19186100,51.30715189520827,75.80731122304918,74.55357197352818,73.29983272400717,True,True,False,False,0,0
2017-10-03,74.66999816894531,74.87999725341797,74.19000244140625,74.26000213623047,12190400,51.90409276748256,75.74833867937657,74.41714368547711,73.08594869157766,True,True,False,False,-1,0
2017-10-17,77.47000122070312,77.62000274658203,77.25,77.58999633789062,16824000,72.17955111465886,78.44264287683477,75.91000039236886,73.37735790790295,True,True,False,False,-1,0
2017-10-25,78.58000183105469,79.0999984741211,78.01000213623047,78.62999725341797,20410800,74.65225623603442,79.48459947614889,77.53571428571429,75.5868290952797,True,True,False,False,-1,0
2017-11-07,84.7699966430664,84.9000015258789,83.93000030517578,84.2699966430664,17939700,82.27124688654541,86.87590996899173,81.62785720825195,76.37980444751217,True,True,False,False,0,0
2017-11-10,83.79000091552734,84.0999984741211,83.2300033569336,83.87000274658203,19397800,74.87902378089012,87.17995298178676,82.83999960763114,78.50004623347553,True,True,False,False,0,0
2017-11-15,83.47000122070312,83.69000244140625,82.69000244140625,82.9800033569336,19383100,63.36459385086699,84.80536996159113,83.89071437290737,82.97605878422361,True,True,False,False,0,0
2017-11-17,83.12000274658203,83.12000274658203,82.23999786376953,82.4000015258789,22079000,56.91289298230703,84.97196031509455,83.74071448189872,82.50946864870289,True,True,False,False,0,0
2017-11-22,83.83000183105469,83.9000015258789,83.04000091552734,83.11000061035156,20553100,59.37828557256686,85.01444201813447,83.66571426391602,82.31698650969756,True,True,False,False,0,0
2017-11-29,84.70999908447266,84.91999816894531,83.18000030517578,83.33999633789062,27381100,56.17818910604184,84.80427470476882,83.51642881120954,82.22858291765026,True,True,False,False,-1,0
2017-12-04,84.41999816894531,84.43000030517578,80.69999694824219,81.08000183105469,39094900,42.830176144031185,85.17411377248139,83.34642900739398,81.51874424230657,True,True,False,False,0,0
2017-12-07,82.54000091552734,82.80000305175781,82.0,82.48999786376953,23184500,50.092780832194805,85.1318958333356,83.10571398053851,81.07953212774142,True,True,False,False,-1,0
2017-12-14,85.43000030517578,85.87000274658203,84.52999877929688,84.69000244140625,19306000,57.341430612896424,86.508030804841,83.8192858014788,81.1305407981166,True,True,False,False,-1,0
2017-12-21,86.05000305175781,86.0999984741211,85.4000015258789,85.5,17990700,57.54938383559267,87.99100842755831,84.50214276994977,81.01327711234123,True,True,False,False,-1,0
2017-12-26,85.30999755859375,85.52999877929688,85.02999877929688,85.4000015258789,9891200,56.87062715533718,87.44401579082269,85.09071459089007,82.73741339095746,True,True,False,False,-1,0
2017-12-29,85.62999725341797,86.05000305175781,85.5,85.54000091552734,18717400,57.09747864950599,86.60532451829064,85.6292860848563,84.65324765142196,True,True,False,False,-1,0
2018-01-10,87.86000061035156,88.19000244140625,87.41000366210938,87.81999969482422,18652200,65.99578768624438,88.7375202222966,86.48714283534459,84.23676544839257,True,True,False,False,-1,0
2018-01-16,90.0999984741211,90.79000091552734,88.01000213623047,88.3499984741211,36599700,62.81272243615393,89.79037425441516,87.16571426391602,84.54105427341688,True,True,False,False,-1,0
2018-01-19,90.13999938964844,90.61000061035156,89.66000366210938,90.0,36875000,68.59173077910611,91.02326177948039,88.12357112339565,85.2238804673109,True,True,False,False,-1,0
