,timestamp,open,high,low,Close,Volume,VolumeUSD,Rsi,BBup,BBmid,BBlow,minterm,mintermr,maxterm,maxtermr,DivergenceSignal,Signal2
99,1717203600000,64624.05,65139.7,64377.84,64906.38,1559.3414,101003308.7980131,50.27060514511814,66318.72558429433,63755.24285714289,61191.760129991446,False,False,True,True,0.0,0
104,1717185600000,62833.2,63532.67,62634.8,62915.12,1494.064403,94380182.25298747,40.67635952197176,65244.79486257624,63185.32000000003,61125.84513742382,False,False,True,True,0.0,0
109,1717167600000,61189.32,62375.51,61109.64,62136.6,1338.925449,82729424.83137257,41.397207925726256,65477.44383743826,62969.63214285717,60461.82044827608,False,False,True,True,0.0,0
112,1717156800000,60320.36,62203.16,59956.78,62127.04,2636.508292,161116032.54320973,43.54545520380583,64951.501538066404,62497.82428571431,60044.14703336222,False,False,True,True,0.0,0
115,1717146000000,60891.76,61306.38,60743.4,60983.47,906.319856,55323892.53711413,40.327359602380625,63471.9482612181,61663.64000000002,59855.33173878194,False,False,True,True,0.0,0
130,1717092000000,64699.41,69389.08,64458.6,64988.18,9323.832803,623915905.1999385,67.94334682274157,65358.977122946286,62050.00571428576,58741.03430562524,False,False,True,True,0.0,0
133,1717081200000,64377.84,66637.01,64108.4,66136.28,3485.401411,228108882.3953823,71.57664765820758,66561.70963647738,63253.871428571474,59946.03322066558,False,False,True,True,0.0,0
136,1717070400000,64508.9,65968.6,64226.4,65249.36,1884.987768,123162400.1373554,61.53069926818958,66516.87948608537,64056.888571428615,61596.89765677186,False,False,True,True,0.0,0
142,1717048800000,63272.32,63288.44,63269.69,63275.4,13.770597,871386.76762898,48.944897639699036,66224.11762421619,64298.942857142894,62373.7680900696,False,False,True,True,0.0,0
154,1717005600000,65387.4,66686.65,65387.4,65846.99,1347.831694,89150619.80544282,69.61146950810748,65454.65187812216,63851.46214285716,62248.272407592165,False,False,True,True,0.0,0
160,1716984000000,64968.36,68580.18,64690.8,66780.6,7726.095225,518793569.64261645,68.23798008580053,66643.600983675,64661.78714285719,62679.973302039376,False,False,True,True,0.0,0
162,1716976800000,67856.4,69264.9,67012.8,68081.8,5769.517834,394969542.7318898,66.77988157653544,67440.98499908567,65123.73571428575,62806.486429485834,False,False,True,True,0.0,0
