Date,Open,High,Low,Close,Volume,Rsi,BBup,BBmid,BBlow,VolumeDelta,minterm,maxterm,mintermr,maxtermr,DivergenceSignal,Signal1
2015-02-09,42.2400016784668,42.7400016784668,42.209999084472656,42.36000061035156,31381100,39.70196510170191,47.92840361130991,43.245713915143696,38.56302421897748,-3235500.0,True,False,True,False,0,0
2015-02-19,43.18000030517578,43.529998779296875,43.04999923706055,43.5,27603400,47.57918387570673,44.393272758177034,42.492142813546316,40.5910128689156,491700.0,True,False,True,False,0,0
2015-03-12,41.33000183105469,41.650001525878906,40.86000061035156,41.02000045776367,59992500,30.902920982341474,44.99908930366689,43.12214306422642,41.24519682478595,27777200.0,True,False,True,False,0,0
2015-04-02,40.65999984741211,40.7400016784668,40.119998931884766,40.290000915527344,37487500,31.703147043325753,43.37564406976898,41.64000047956194,39.9043568893549,622200.0,True,False,True,False,0,0
2015-04-08,41.459999084472656,41.689998626708984,41.040000915527344,41.41999816894531,24753400,44.94186911827644,43.21897808480976,41.550000054495676,39.88102202418159,-4056000.0,True,False,True,False,-1,0
2015-04-14,41.79999923706055,42.029998779296875,41.38999938964844,41.650001525878906,24244400,47.508644882974224,42.11139828072909,41.24142837524414,40.37145846975919,-6032300.0,True,False,True,False,0,0
2015-04-17,41.66999816894531,41.7400016784668,41.15999984741211,41.619998931884766,42387600,46.97830910099953,42.500407010167436,41.41285678318569,40.32530655620394,19877900.0,True,False,True,False,0,0
2015-05-06,47.56999969482422,47.77000045776367,46.02000045776367,46.279998779296875,52433000,57.60173748793926,51.67256948596063,46.217142650059294,40.76171581415796,2063800.0,True,False,True,False,-1,0
2015-05-12,46.849998474121094,47.68000030517578,46.41999816894531,47.349998474121094,29928300,61.435916480703746,50.41687802758983,47.57499967302595,44.73312131846207,5318900.0,True,False,True,False,0,0
2015-05-26,46.83000183105469,46.880001068115234,46.189998626708984,46.59000015258789,29581900,50.28273906434531,48.728171219425306,47.44142859322684,46.15468596702837,3861300.0,True,False,True,False,0,0
2015-05-29,47.43000030517578,47.56999969482422,46.59000015258789,46.86000061035156,36519600,51.2267922358689,48.60432624342322,47.526428767613005,46.44853129180279,17235900.0,True,False,True,False,0,0
2015-06-09,45.7599983215332,45.939998626708984,45.459999084472656,45.650001525878906,24406100,41.49450362092879,48.05163900925151,46.806428636823384,45.56121826439526,2284500.0,True,False,True,False,0,0
2015-06-15,45.45000076293945,45.650001525878906,45.02000045776367,45.47999954223633,33254500,41.567692174313166,47.81880716518076,46.52142851693289,45.22404986868503,9323500.0,True,False,True,False,1,0
2015-06-30,44.709999084472656,44.720001220703125,43.939998626708984,44.150001525878906,35945400,33.21665596735797,47.07318215761509,45.69428580147879,44.31538944534249,1863700.0,True,False,True,False,0,0
2015-07-08,44.439998626708984,44.900001525878906,44.029998779296875,44.2400016784668,39785900,35.20169263765146,46.85279449387234,45.12928581237793,43.40577713088352,3350100.0,True,False,True,False,-1,0
2015-07-22,45.439998626708984,46.93000030517578,45.20000076293945,45.540000915527344,59152400,48.16070589410478,47.531920882054315,45.45714269365583,43.38236450525735,16370500.0,True,False,True,False,0,0
2015-07-28,45.58000183105469,45.63999938964844,44.790000915527344,45.34000015258789,34328900,46.327447497108736,47.40961334691628,45.84357098170689,44.2775286164975,-5372500.0,True,False,True,False,0,0
2015-08-06,47.709999084472656,47.77000045776367,46.33000183105469,46.619998931884766,27368000,53.48648775662127,47.949516045147625,46.49285725184849,45.03619845854936,408300.0,True,False,True,False,0,0
2015-08-11,46.81999969482422,46.939998626708984,45.900001525878906,46.40999984741211,29237400,50.592301299913025,47.902829109295595,46.545714787074495,45.188600464853394,6157500.0,True,False,True,False,1,0
2015-08-25,42.56999969482422,43.2400016784668,40.38999938964844,40.470001220703125,70616600,21.817882688896546,50.0076551911088,45.68928609575544,41.37091700040208,-18137100.0,True,False,True,False,0,0
2015-09-01,42.16999816894531,42.59000015258789,41.65999984741211,41.81999969482422,49688900,35.96374394068228,48.903834792804346,44.40642874581473,39.90902269882511,15247200.0,True,False,True,False,-1,0
2015-09-04,42.810001373291016,43.040000915527344,42.20000076293945,42.61000061035156,37138800,41.30837520624091,47.194503597985694,43.57928603036063,39.96406846273556,8853600.0,True,False,True,False,-1,0
2015-09-14,43.43000030517578,43.439998626708984,42.86000061035156,43.040000915527344,23656000,44.40795719932961,44.850270288679056,43.042143140520366,41.23401599236168,-3476500.0,True,False,True,False,-1,0
2015-09-18,43.5,43.9900016784668,43.33000183105469,43.47999954223633,63143700,46.60307114948151,44.65500289196339,43.399285725184846,42.1435685584063,30375500.0,True,False,True,False,-1,0
2015-09-23,43.93000030517578,44.16999816894531,43.5099983215332,43.869998931884766,17145200,48.80798398600659,44.59208431582321,43.62642860412598,42.660772892428746,-10940700.0,True,False,True,False,0,0
2015-09-28,43.83000183105469,44.09000015258789,43.209999084472656,43.290000915527344,27613800,44.971548914290835,44.52625847370827,43.70785713195801,42.88945579020775,-1770800.0,True,False,True,False,0,0
2015-10-14,46.650001525878906,47.099998474121094,46.529998779296875,46.68000030517578,24697800,61.47500823266445,48.65038542819371,45.744285583496094,42.83818573879848,4710000.0,True,False,True,False,0,0
