,EntryPrice,ExitPrice,PnL,Quantity
341,118.13999938964844,127.23999786376953,0.0,84
342,118.04000091552734,129.44000244140625,0.0,84
343,119.08999633789062,131.27000427246094,0.0,83
344,118.26000213623047,132.22999572753906,0.0,84
345,122.18000030517578,129.91000366210938,0.0,81
346,120.08999633789062,132.0,0.0,83
347,118.30999755859375,130.16000366210938,0.0,84
348,117.33999633789062,129.72999572753906,0.0,85
349,124.5999984741211,130.07000732421875,0.0,80
350,126.36000061035156,128.0,0.0,79
351,127.23999786376953,125.30999755859375,-0.0,78
352,129.44000244140625,119.55000305175781,-0.0,77
353,131.27000427246094,115.98999786376953,-0.0,76
354,132.22999572753906,114.05999755859375,-0.0,75
355,129.91000366210938,115.41000366210938,-0.0,76
356,132.0,113.43000030517578,-0.0,75
357,130.16000366210938,113.02999877929688,-0.0,76
358,129.72999572753906,115.83000183105469,-0.0,77
359,130.07000732421875,115.18000030517578,-0.0,76
360,128.0,113.91999816894531,-0.0,78
361,125.30999755859375,117.31999969482422,-0.0,79
362,119.55000305175781,116.37999725341797,-0.0,83
363,115.98999786376953,115.81999969482422,-0.0,86
364,114.05999755859375,115.30000305175781,0.0,87
365,115.41000366210938,112.61000061035156,-0.0,86
366,113.43000030517578,114.05000305175781,0.0,88
367,113.02999877929688,112.62000274658203,-0.0,88
368,115.83000183105469,111.88999938964844,-0.0,86
369,115.18000030517578,114.72000122070312,-0.0,86
370,113.91999816894531,114.36000061035156,0.0,87
371,117.31999969482422,112.86000061035156,-0.0,85
372,116.37999725341797,112.97000122070312,-0.0,85
373,115.81999969482422,111.91000366210938,-0.0,86
374,115.30000305175781,108.0,-0.0,86
375,112.61000061035156,112.94999694824219,0.0,88
376,114.05000305175781,111.79000091552734,-0.0,87
377,112.62000274658203,114.55999755859375,0.0,88
378,111.88999938964844,114.54000091552734,0.0,89
379,114.72000122070312,115.31999969482422,0.0,87
380,114.36000061035156,114.76000213623047,0.0,87
381,112.86000061035156,115.22000122070312,0.0,88
382,112.97000122070312,113.41999816894531,0.0,88
383,111.91000366210938,115.23999786376953,0.0,89
384,108.0,114.80999755859375,0.0,92
385,112.94999694824219,115.36000061035156,0.0,88
386,111.79000091552734,114.20999908447266,0.0,89
387,114.55999755859375,112.43000030517578,-0.0,87
388,114.54000091552734,113.61000061035156,-0.0,87
389,115.31999969482422,112.36000061035156,-0.0,86
390,114.76000213623047,115.76000213623047,0.0,87
391,115.22000122070312,114.3499984741211,-0.0,86
392,113.41999816894531,115.37999725341797,0.0,88
393,115.23999786376953,118.38999938964844,0.0,86
394,114.80999755859375,120.13999938964844,0.0,87
395,115.36000061035156,122.12999725341797,0.0,86
396,114.20999908447266,122.45999908447266,0.0,87
397,112.43000030517578,123.62999725341797,0.0,88
398,113.61000061035156,122.58999633789062,0.0,88
399,112.36000061035156,121.63999938964844,0.0,88
400,115.76000213623047,118.62999725341797,0.0,86
401,114.3499984741211,116.66999816894531,0.0,87
402,115.37999725341797,115.5199966430664,0.0,86
403,118.38999938964844,115.80000305175781,-0.0,84
404,120.13999938964844,118.55000305175781,-0.0,83
405,122.12999725341797,114.66999816894531,-0.0,81
406,122.45999908447266,114.38999938964844,-0.0,81
407,123.62999725341797,114.41000366210938,-0.0,80
408,122.58999633789062,113.7300033569336,-0.0,81
409,121.63999938964844,114.51000213623047,-0.0,82
410,118.62999725341797,113.70999908447266,-0.0,84
411,116.66999816894531,113.73999786376953,-0.0,85
412,115.5199966430664,115.9000015258789,0.0,86
413,115.80000305175781,118.5999984741211,0.0,86
414,118.55000305175781,119.16999816894531,0.0,84
415,114.66999816894531,120.58000183105469,0.0,87
416,114.38999938964844,116.38999938964844,0.0,87
417,114.41000366210938,116.12000274658203,0.0,87
418,113.7300033569336,117.87000274658203,0.0,87
419,114.51000213623047,117.08000183105469,0.0,87
420,113.70999908447266,118.16000366210938,0.0,87
421,113.73999786376953,115.83000183105469,0.0,87
422,115.9000015258789,112.48999786376953,-0.0,86
423,118.5999984741211,111.20999908447266,-0.0,84
424,119.16999816894531,109.13999938964844,-0.0,83
425,120.58000183105469,106.79000091552734,1130.7800750732422,82
426,116.38999938964844,105.8499984741211,-0.0,85
427,116.12000274658203,107.98999786376953,-0.0,86
428,117.87000274658203,106.16000366210938,-0.0,84
429,117.08000183105469,104.5,-0.0,85
430,118.16000366210938,107.7300033569336,-0.0,84
431,115.83000183105469,112.7699966430664,-0.0,86
432,112.48999786376953,110.38999938964844,-0.0,88
433,111.20999908447266,108.13999938964844,-0.0,89
434,109.13999938964844,105.9800033569336,-0.0,91
435,106.79000091552734,104.98999786376953,-0.0,93
436,105.8499984741211,101.95999908447266,-0.0,94
437,107.98999786376953,103.61000061035156,-0.0,92
438,106.16000366210938,109.37000274658203,0.0,94
439,104.5,111.19000244140625,0.0,95
440,107.7300033569336,115.86000061035156,0.0,92
441,112.7699966430664,118.83999633789062,0.0,88
442,110.38999938964844,116.51000213623047,0.0,90
443,108.13999938964844,116.12999725341797,0.0,92
444,105.9800033569336,122.2300033569336,0.0,94
445,104.98999786376953,122.37999725341797,0.0,95
446,101.95999908447266,122.69999694824219,0.0,98
447,103.61000061035156,124.11000061035156,0.0,96
448,109.37000274658203,124.5999984741211,0.0,91
449,111.19000244140625,126.08000183105469,0.0,89
450,115.86000061035156,125.87999725341797,0.0,86
451,118.83999633789062,128.14999389648438,-782.039794921875,84
452,116.51000213623047,126.97000122070312,0.0,85
453,116.12999725341797,127.19999694824219,0.0,86
454,122.2300033569336,130.67999267578125,0.0,81
455,122.37999725341797,131.3699951171875,0.0,81
456,122.69999694824219,131.4499969482422,0.0,81
457,124.11000061035156,129.74000549316406,0.0,80
458,124.5999984741211,135.0800018310547,0.0,80
459,126.08000183105469,135.3000030517578,0.0,79
460,125.87999725341797,133.91000366210938,0.0,79
461,128.14999389648438,132.94000244140625,0.0,78
462,126.97000122070312,133.1199951171875,0.0,78
463,127.19999694824219,132.5399932861328,0.0,78
464,130.67999267578125,133.83999633789062,0.0,76
465,131.3699951171875,133.0500030517578,0.0,76
466,131.4499969482422,135.0399932861328,0.0,76
467,129.74000549316406,136.47999572753906,0.0,77
468,135.0800018310547,136.74000549316406,0.0,74
469,135.3000030517578,134.35000610351562,69.34977722167969,73
470,133.91000366210938,136.55999755859375,0.0,74
471,132.94000244140625,138.17999267578125,0.0,75
