Date,Open,High,Low,Close,Volume,Rsi,BBup,BBmid,BBlow,VolumeDelta,minterm,maxterm,mintermr,maxtermr,DivergenceSignal,Signal1,Signal2
2015-07-01,44.459999084472656,45.22999954223633,44.099998474121094,44.45000076293945,28343900,36.854130742839395,47.002663892498326,45.55214309692383,44.10162230134933,-7601500.0,False,True,False,True,0,0,0
2015-07-21,46.779998779296875,47.33000183105469,46.47999954223633,47.279998779296875,42781900,67.96042266117571,47.51664512144569,45.379285539899556,43.24192595835342,12150000.0,False,True,False,True,0,0,0
2015-07-30,46.2599983215332,47.400001525878906,45.93000030517578,46.880001068115234,39777900,58.866065629986764,47.37630984277615,46.13214247567313,44.8879751085701,-1168000.0,False,True,False,True,0,0,0
2015-08-05,47.97999954223633,48.40999984741211,47.540000915527344,47.58000183105469,26959700,63.28766222098919,47.949516045147625,46.49285725184849,45.03619845854936,-6444200.0,False,True,False,True,0,0,0
2015-08-10,46.95000076293945,47.4900016784668,46.84000015258789,47.33000183105469,23079900,58.882442763491106,47.93616920593683,46.483572006225586,45.030974806514344,3916900.0,False,True,False,True,1,0,0
2015-08-17,46.810001373291016,47.45000076293945,46.56999969482422,47.31999969482422,21099700,57.75077618203927,47.67397163890734,46.906429290771484,46.13888694263563,-373700.0,False,True,False,True,1,0,0
2015-08-28,43.400001525878906,44.150001525878906,43.38999938964844,43.93000030517578,28246700,43.990024081583115,49.385692926959464,44.96428598676409,40.542879046568714,-22696500.0,False,True,False,True,0,0,0
2015-09-08,43.29999923706055,44.0,43.20000076293945,43.88999938964844,32469800,47.60103384553114,46.33325546895298,43.33785738263811,40.34245929632325,-4669000.0,False,True,False,True,0,0,0
2015-09-16,43.970001220703125,44.380001068115234,43.84000015258789,44.29999923706055,23372200,50.96893057983988,44.6393486334598,43.40642874581473,42.17350885816966,-5510000.0,False,True,False,True,0,0,0
2015-09-25,44.47999954223633,44.72999954223633,43.7599983215332,43.939998626708984,29384600,49.278209200150904,44.53940032033758,43.7507141658238,42.962028011310025,1479000.0,False,True,False,True,0,0,0
