Date,Open,High,Low,Close,Volume,Rsi,BBup,BBmid,BBlow,VolumeDelta,minterm,maxterm,mintermr,maxtermr,DivergenceSignal,Signal1,Signal2
2015-06-01,5.567500114440918,5.650000095367432,5.53249979019165,5.59499979019165,37266000,60.481864841964224,5.601062858658698,5.333750009536743,5.066437160414789,3749200.0,False,True,False,True,0,0,0
2015-06-05,5.505000114440918,5.590000152587891,5.447500228881836,5.565000057220459,31332000,57.17712178199904,5.684497196929385,5.398392881665911,5.112288566402437,-1039200.0,False,True,False,True,1,0,0
2015-06-18,5.440000057220459,5.519999980926514,5.425000190734863,5.485000133514404,29940400,54.010107505467154,5.62125331562152,5.431785753795078,5.242318191968637,6586000.0,False,True,False,True,1,0,0
2015-07-02,5.097499847412109,5.137499809265137,5.072500228881836,5.105000019073486,14576400,38.85382638745556,5.564336670356537,5.2635714667184015,4.962806263080266,-15712800.0,False,True,False,True,0,0,0
2015-07-16,4.96750020980835,5.047500133514404,4.949999809265137,5.047500133514404,28284800,44.67904812323736,5.175769069834627,5.00482143674578,4.833873803656933,1711600.0,False,True,False,True,0,0,0
2015-08-10,5.704999923706055,5.987500190734863,5.670000076293945,5.945000171661377,66230400,79.75969047059911,5.743524210749765,5.1055357456207275,4.46754728049169,-74294400.0,False,True,False,True,0,0,0
2015-08-28,5.65749979019165,5.71750020980835,5.617499828338623,5.682499885559082,32094400,58.08418580440363,6.174268671296243,5.637321369988578,5.100374068680912,-14282000.0,False,True,False,True,1,0,0
2015-09-08,5.570000171661377,5.692500114440918,5.547500133514404,5.670000076293945,23844800,55.98532366763506,5.871620762183787,5.495178495134626,5.1187362280854645,-4952400.0,False,True,False,True,0,0,0
2015-09-21,5.829999923706055,5.894999980926514,5.800000190734863,5.882500171661377,28184000,62.042595599746555,5.937882444740219,5.656964302062988,5.376046159385758,-4457200.0,False,True,False,True,-1,0,0
2015-10-16,6.880000114440918,7.03000020980835,6.862500190734863,6.965000152587891,44839600,80.29000490344667,7.060007914373806,6.467142854418073,5.8742777944623406,-7765200.0,False,True,False,True,0,0,0
2015-10-23,7.162499904632568,7.195000171661377,7.054999828338623,7.147500038146973,38177600,78.58318057753321,7.231527300108325,6.77482145173209,6.318115603355856,7489200.0,False,True,False,True,0,0,0
2015-10-28,7.15500020980835,7.167500019073486,7.050000190734863,7.167500019073486,21703600,77.36956394228885,7.329173927594459,6.91107143674578,6.4929689458971005,876800.0,False,True,False,True,0,0,0
2015-11-02,7.114999771118164,7.182499885559082,7.072500228881836,7.175000190734863,19008800,69.12881846869448,7.2566901933066665,7.016964333398001,6.777238473489336,-11107200.0,False,True,False,True,-1,0,-1
2015-11-06,7.612500190734863,7.985000133514404,7.454999923706055,7.887499809265137,117227200,75.91753139882901,7.586728535237635,7.1121428694043844,6.637557203571134,69347200.0,False,True,False,True,0,0,0
2015-11-20,7.837500095367432,7.892499923706055,7.789999961853027,7.847499847412109,23974400,68.48559484608016,8.163804584572569,7.554642813546317,6.945481042520066,-1432800.0,False,True,False,True,0,0,0
2015-12-01,8.0,8.194999694824219,7.992499828338623,8.1875,40949600,73.34710559697784,8.098512232787774,7.752321379525321,7.406130526262867,8225200.0,False,True,False,True,-1,0,0
2015-12-04,8.107500076293945,8.452500343322754,8.107500076293945,8.4375,45875600,75.54504136839046,8.35452583286958,7.8946428298950195,7.434759826920459,21210000.0,False,True,False,True,0,0,0
2015-12-16,8.260000228881836,8.319999694824219,8.1875,8.292499542236328,23635600,63.354030052416775,8.48592965371025,8.180357149669103,7.874784645627954,-7094000.0,False,True,False,True,0,0,0
2015-12-29,8.289999961853027,8.444999694824219,8.267499923706055,8.420000076293945,20366000,64.28317273598302,8.403586703930825,8.224642821720668,8.04569893951051,6163600.0,False,True,False,True,0,0,0
2016-01-12,7.552499771118164,7.65500020980835,7.492499828338623,7.545000076293945,46935600,38.066228659240444,8.731740382862489,8.015892812183925,7.3000452415053605,5998400.0,False,True,False,True,0,0,0
2016-01-26,7.119999885559082,7.204999923706055,7.047500133514404,7.175000190734863,22794400,39.872995044594454,7.83814665103715,7.2235714708055765,6.608996290574003,-4278400.0,False,True,False,True,0,0,0
2016-02-01,7.315000057220459,7.362500190734863,7.252500057220459,7.324999809265137,28988400,46.98421799695536,7.531968308251962,7.114285741533552,6.696603174815142,-2062000.0,False,True,False,True,0,0,0
2016-02-04,7.059999942779541,7.212500095367432,6.982500076293945,7.052499771118164,34814000,40.54590815391047,7.361252058077749,7.04928571837289,6.737319378668031,2136800.0,False,True,False,True,0,0,0
2016-02-25,7.985000133514404,8.012499809265137,7.829999923706055,7.972499847412109,34961600,67.85013076429351,8.406288264807028,7.063571419034686,5.7208545732623435,1276400.0,False,True,False,True,-1,0,0
