,EntryPrice,ExitPrice,PnL,Quantity
49,225.6266632080078,211.8733367919922,-0.0,44
50,233.93666076660156,222.64332580566406,-0.0,42
51,217.72000122070312,220.5833282470703,0.0,45
52,218.2899932861328,230.35000610351562,0.0,45
53,223.3333282470703,230.5399932861328,0.0,44
54,220.72000122070312,223.6566619873047,0.0,45
55,210.08999633789062,227.93333435058594,0.0,47
56,213.4633331298828,225.67333984375,0.0,46
57,206.23666381835938,233.9933319091797,0.0,48
58,203.76333618164062,254.10667419433594,0.0,49
59,211.8733367919922,244.07666015625,0.0,47
60,222.64332580566406,246.28334045410156,0.0,44
61,220.5833282470703,246.5933380126953,0.0,45
62,230.35000610351562,238.2100067138672,0.0,43
63,230.5399932861328,239.663330078125,0.0,43
64,223.6566619873047,248.0399932861328,0.0,44
65,227.93333435058594,239.89666748046875,0.0,43
66,225.67333984375,243.13333129882812,0.0,44
67,233.9933319091797,246.06666564941406,0.0,42
68,254.10667419433594,234.913330078125,-0.0,39
69,244.07666015625,231.46665954589844,-0.0,40
70,246.28334045410156,225.6666717529297,-0.0,40
71,246.5933380126953,236.47999572753906,-0.0,40
72,238.2100067138672,228.3000030517578,-0.0,41
73,239.663330078125,224.53334045410156,-0.0,41
74,248.0399932861328,223.64666748046875,-0.0,40
75,239.89666748046875,221.17999267578125,-0.0,41
76,243.13333129882812,224.1233367919922,-0.0,41
77,246.06666564941406,209.67999267578125,-0.0,40
78,234.913330078125,205.73333740234375,-0.0,42
79,231.46665954589844,196.6300048828125,-0.0,43
80,225.6666717529297,190.56333923339844,-0.0,44
81,236.47999572753906,196.5800018310547,-0.0,42
82,228.3000030517578,192.27667236328125,-0.0,43
83,224.53334045410156,192.6233367919922,-0.0,44
84,223.64666748046875,187.82000732421875,-0.0,44
85,221.17999267578125,195.5933380126953,-0.0,45
86,224.1233367919922,193.6266632080078,-0.0,44
87,209.67999267578125,202.14666748046875,-0.0,47
88,205.73333740234375,201.56333923339844,-0.0,48
89,196.6300048828125,206.3766632080078,0.0,50
90,190.56333923339844,210.28334045410156,0.0,52
91,196.5800018310547,208.4066619873047,0.0,50
92,192.27667236328125,207.96665954589844,0.0,52
93,192.6233367919922,201.7066650390625,0.0,51
94,187.82000732421875,190.94667053222656,0.0,53
95,195.5933380126953,199.68333435058594,0.0,51
96,193.6266632080078,201.7100067138672,0.0,51
97,202.14666748046875,201.19667053222656,-0.0,49
98,201.56333923339844,199.5933380126953,-0.0,49
99,206.3766632080078,203.3733367919922,-0.0,48
100,210.28334045410156,203.29666137695312,-0.0,47
101,208.4066619873047,205.89666748046875,-0.0,47
102,207.96665954589844,199.7866668701172,-0.0,48
103,201.7066650390625,201.6233367919922,-0.0,49
104,190.94667053222656,205.53334045410156,0.0,52
105,199.68333435058594,207.77000427246094,0.0,50
106,201.7100067138672,206.94332885742188,0.0,49
107,201.19667053222656,207.90333557128906,0.0,49
108,199.5933380126953,218.85667419433594,0.0,50
109,203.3733367919922,226.60667419433594,0.0,49
110,203.29666137695312,223.9566650390625,0.0,49
111,205.89666748046875,229.57333374023438,0.0,48
112,199.7866668701172,226.9199981689453,0.0,50
113,201.6233367919922,226.56666564941406,0.0,49
114,205.53334045410156,225.97332763671875,0.0,48
115,207.77000427246094,226.3000030517578,0.0,48
116,206.94332885742188,219.86000061035156,0.0,48
117,207.90333557128906,214.88333129882812,0.0,48
118,218.85667419433594,217.60333251953125,-0.0,45
119,226.60667419433594,218.98333740234375,-0.0,44
120,223.9566650390625,228.56666564941406,0.0,44
121,229.57333374023438,222.84666442871094,289.2467803955078,43
122,226.9199981689453,217.7933349609375,-0.0,44
123,226.56666564941406,216.86666870117188,-0.0,44
124,225.97332763671875,214.74000549316406,-0.0,44
125,226.3000030517578,215.4066619873047,-0.0,44
126,219.86000061035156,220.1666717529297,0.0,45
127,214.88333129882812,218.42999267578125,0.0,46
128,217.60333251953125,216.4199981689453,-0.0,45
129,218.98333740234375,214.4600067138672,-0.0,45
130,228.56666564941406,219.2066650390625,-0.0,43
131,222.84666442871094,214.92666625976562,-0.0,44
132,217.7933349609375,215.66000366210938,-0.0,45
133,216.86666870117188,225.78334045410156,0.0,46
134,214.74000549316406,229.06666564941406,0.0,46
135,215.4066619873047,236.55667114257812,0.0,46
136,220.1666717529297,236.5800018310547,0.0,45
137,218.42999267578125,236.97332763671875,0.0,45
138,216.4199981689453,238.2100067138672,0.0,46
139,214.4600067138672,233.03334045410156,0.0,46
140,219.2066650390625,237.9199981689453,0.0,45
141,214.92666625976562,236.663330078125,0.0,46
142,215.66000366210938,235.94000244140625,0.0,46
143,225.78334045410156,240.75,0.0,44
144,229.06666564941406,239.05667114257812,0.0,43
145,236.55667114257812,228.72332763671875,-0.0,42
146,236.5800018310547,221.90333557128906,-0.0,42
147,236.97332763671875,229.663330078125,-0.0,42
148,238.2100067138672,224.49000549316406,562.5200500488281,41
149,233.03334045410156,226.75332641601562,-0.0,42
150,237.9199981689453,235.43333435058594,-0.0,42
151,236.663330078125,236.163330078125,-0.0,42
152,235.94000244140625,237.06666564941406,0.0,42
153,240.75,233.72000122070312,-0.0,41
154,239.05667114257812,237.30667114257812,-0.0,41
155,228.72332763671875,243.6366729736328,0.0,43
156,221.90333557128906,245.24000549316406,0.0,45
157,229.663330078125,244.69667053222656,0.0,43
158,224.49000549316406,244.1300048828125,0.0,44
159,226.75332641601562,244.52333068847656,0.0,44
160,235.43333435058594,250.97332763671875,0.0,42
161,236.163330078125,251.2899932861328,0.0,42
162,237.06666564941406,251.6199951171875,0.0,42
163,233.72000122070312,245.42333984375,0.0,42
164,237.30667114257812,247.6666717529297,0.0,42
165,243.6366729736328,248.163330078125,0.0,41
166,245.24000549316406,251.94332885742188,0.0,40
167,244.69667053222656,252.3300018310547,0.0,40
168,244.1300048828125,253.163330078125,0.0,40
169,244.52333068847656,243.38999938964844,-0.0,40
170,250.97332763671875,246.4600067138672,-0.0,39
171,251.2899932861328,250.64666748046875,-0.0,39
172,251.6199951171875,251.2133331298828,15.859817504882812,39
173,245.42333984375,258.1300048828125,0.0,40
174,247.6666717529297,263.78668212890625,0.0,40
175,248.163330078125,259.1866760253906,0.0,40
176,251.94332885742188,260.4366760253906,0.0,39
177,252.3300018310547,258.49334716796875,0.0,39
178,253.163330078125,258.40667724609375,0.0,39
